CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
10001.0,45,20,4211.62,2,4,4,244,At Risk
10002.0,142,8,2583.9399999999996,1,2,3,123,Potential Loyalists
10003.0,42,21,3572.01,2,4,4,244,At Risk
10004.0,13,27,5737.28,4,4,5,445,Champions
10005.0,14,7,1220.71,4,1,1,411,Potential Loyalists
10006.0,148,3,706.8100000000001,1,1,1,111,Lost Customers
10007.0,77,15,2800.25,2,3,3,233,At Risk
10008.0,82,11,1059.49,1,2,1,121,Lost Customers
10009.0,21,7,1308.94,3,1,2,312,Potential Loyalists
10010.0,82,12,2408.8199999999997,1,2,3,123,Potential Loyalists
10011.0,13,28,7342.8,4,4,5,445,Champions
10012.0,40,31,6294.25,2,5,5,255,At Risk
10013.0,40,16,3132.72,2,3,3,233,At Risk
10014.0,15,45,9314.68,4,5,5,455,Champions
10015.0,17,22,4880.18,4,4,4,444,Champions
10016.0,82,6,1955.63,1,1,2,112,Lost Customers
10017.0,62,15,2341.02,2,3,3,233,At Risk
10018.0,50,12,2810.45,2,2,3,223,Potential Loyalists
10019.0,1,42,6961.89,5,5,5,555,Champions
10020.0,4,21,4083.38,5,4,4,544,Champions
10021.0,13,15,1582.79,4,3,2,432,Potential Loyalists
10022.0,19,14,2956.48,4,3,3,433,Potential Loyalists
10023.0,5,44,7491.86,5,5,5,555,Champions
10024.0,85,19,2971.54,1,4,3,143,At Risk
10025.0,4,6,1115.0,5,1,1,511,Potential Loyalists
10026.0,61,11,2471.76,2,2,3,223,Potential Loyalists
10027.0,8,29,6966.32,4,5,5,455,Champions
10028.0,8,12,1584.1100000000001,4,2,2,422,Potential Loyalists
10029.0,15,17,3651.42,4,3,4,434,Big Spenders
10030.0,1,24,3766.38,5,4,4,544,Champions
10031.0,12,71,12919.74,4,5,5,455,Champions
10032.0,68,11,1625.01,2,2,2,222,Lost Customers
10033.0,3,14,2447.18,5,3,3,533,Potential Loyalists
10034.0,65,11,2872.55,2,2,3,223,Potential Loyalists
10035.0,16,25,3793.0,4,4,4,444,Champions
10036.0,5,38,6608.56,5,5,5,555,Champions
10037.0,97,12,2081.3,1,2,2,122,Lost Customers
10038.0,22,10,2446.53,3,2,3,323,Potential Loyalists
10039.0,118,6,1581.1499999999999,1,1,2,112,Lost Customers
10040.0,38,23,5554.75,3,4,4,344,Loyal Customers
10041.0,5,23,5412.3,5,4,4,544,Champions
10042.0,68,20,4540.14,2,4,4,244,At Risk
10043.0,16,11,1512.39,4,2,2,422,Potential Loyalists
10044.0,86,12,2864.85,1,2,3,123,Potential Loyalists
10045.0,24,15,3308.17,3,3,3,333,Potential Loyalists
10046.0,98,13,3623.1,1,3,4,134,At Risk
10047.0,50,25,4861.82,2,4,4,244,At Risk
10048.0,72,11,1394.21,2,2,2,222,Lost Customers
10049.0,32,23,4824.1900000000005,3,4,4,344,Loyal Customers
10050.0,18,12,2566.7200000000003,4,2,3,423,Potential Loyalists
10051.0,16,15,4257.39,4,3,4,434,Big Spenders
