InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
508484,P1003,Smart Watch,Fashion,3,2025-01-01 08:01:00,106.16,12319.0,Germany,318.48
525117,P1067,Notebook,Home & Kitchen,3,2025-01-01 08:15:00,31.01,11072.0,India,93.03
514170,P1030,Bluetooth Speaker,Fashion,2,2025-01-01 08:15:00,52.96,12115.0,Italy,105.92
518353,P1070,Yoga Mat,Beauty,2,2025-01-01 08:16:00,67.56,11224.0,Canada,135.12
509886,P1096,Pen Set,Beauty,4,2025-01-01 08:29:00,74.16,11000.0,Canada,296.64
516913,P1092,Desk Lamp,Books,5,2025-01-01 08:36:00,28.56,10554.0,India,142.8
505338,P1111,Board Game,Office,1,2025-01-01 08:49:00,38.65,10761.0,Australia,38.65
525369,P1072,Jeans,Beauty,3,2025-01-01 09:04:00,18.46,12385.0,Italy,55.38
518346,P1099,T-Shirt,Fashion,2,2025-01-01 09:07:00,86.76,12253.0,United Kingdom,173.52
509127,P1011,Notebook,Electronics,4,2025-01-01 09:08:00,60.66,11150.0,Spain,242.64
506612,P1096,Pen Set,Beauty,3,2025-01-01 09:09:00,74.58,11926.0,Germany,223.74
513910,P1096,Pen Set,Beauty,3,2025-01-01 09:14:00,66.06,11396.0,Netherlands,198.18
513063,P1108,Bedsheet,Home & Kitchen,4,2025-01-01 09:24:00,62.09,10092.0,United Kingdom,248.36
525667,P1085,Wireless Headphones,Books,3,2025-01-01 09:38:00,31.58,12429.0,India,94.74
502220,P1108,Bedsheet,Home & Kitchen,7,2025-01-01 09:46:00,53.75,10332.0,India,376.25
505310,P1007,Wireless Mouse,Books,2,2025-01-01 09:53:00,13.4,12423.0,United Kingdom,26.8
501126,P1083,Board Game,Office,3,2025-01-01 09:58:00,39.38,10598.0,India,118.14
512728,P1010,Backpack,Beauty,7,2025-01-01 09:58:00,54.11,11192.0,Netherlands,378.77
524468,P1045,Face Wash,Beauty,2,2025-01-01 10:01:00,41.61,10190.0,United Kingdom,83.22
522479,P1047,Lip Balm,Fashion,3,2025-01-01 10:17:00,52.66,12361.0,United Kingdom,157.98
500839,P1048,Shampoo,Books,1,2025-01-01 10:24:00,20.69,12094.0,Italy,20.69
519020,P1090,Keyboard,Office,5,2025-01-01 10:37:00,59.08,10092.0,Spain,295.4
